0: [80, 80, 78, 85, 81, 84, 79, 81, 80, 78, 114, 115, 111, 109, 108, 108, 116, 105, 111, 109]
0.1: [90.0, 93.90000000000002, 90.49999999999999, 94.3, 94.7, 94.99999999999999, 91.19999999999997, 96.00000000000001, 91.99999999999996, 91.4, 127.2, 133.99999999999997, 125.99999999999997, 129.20000000000002, 130.99999999999997, 125.69999999999999, 126.89999999999998, 123.89999999999996, 129.89999999999995, 124.89999999999999]
0.2: [100.99999999999997, 98.99999999999999, 104.19999999999999, 102.60000000000001, 102.2, 104.80000000000003, 95.60000000000001, 104.2, 99.80000000000005, 103.6, 142.20000000000002, 145.59999999999994, 143.99999999999991, 141.0, 142.19999999999996, 136.40000000000006, 137.60000000000002, 141.99999999999994, 142.59999999999994, 137.99999999999994]
0.3: [110.00000000000003, 108.10000000000001, 109.40000000000003, 107.39999999999999, 107.39999999999998, 109.69999999999997, 101.89999999999999, 110.29999999999997, 106.9, 112.2, 154.99999999999997, 159.40000000000012, 147.00000000000003, 151.10000000000002, 156.10000000000002, 146.3, 150.20000000000002, 148.30000000000004, 156.90000000000006, 153.50000000000003]
0.4: [119.0, 115.80000000000003, 121.80000000000004, 113.2, 120.2, 112.8, 108.20000000000002, 120.99999999999999, 115.60000000000005, 120.6, 160.4, 170.60000000000008, 164.00000000000003, 162.80000000000007, 174.40000000000003, 152.79999999999998, 159.60000000000008, 154.60000000000008, 169.2, 159.2]
0.5: [128.0, 123.5, 133.0, 119.0, 127.0, 121.5, 127.0, 123.0, 122.5, 125.5, 182.0, 164.5, 174.5, 172.0, 182.5, 166.5, 169.0, 164.5, 181.5, 174.5]
1: [154, 191, 147, 148, 150, 151, 170, 166, 146, 158, 213, 256, 218, 233, 226, 217, 216, 223, 243, 237]
1.5: [186.0, 194.0, 175.5, 172.0, 178.5, 177.0, 186.5, 200.5, 174.0, 192.0, 272.0, 316.0, 262.5, 299.0, 275.0, 274.5, 263.0, 254.5, 304.5, 299.5]
2: [218, 221, 204, 198, 207, 203, 217, 235, 202, 226, 357, 376, 307, 356, 350, 326, 310, 299, 366, 359]
3: [314, 283, 261, 250, 243, 255, 278, 304, 258, 294, 471, 496, 396, 470, 460, 429, 404, 388, 489, 478]
