0: [78, 78, 77, 82, 79, 84, 76, 81, 79, 77, 110, 115, 109, 108, 108, 105, 114, 102, 110, 107]
0.1: [90.10000000000001, 90.39999999999992, 92.09999999999997, 93.39999999999998, 89.89999999999998, 90.7, 88.9, 96.4, 89.89999999999995, 90.4, 129.0999999999999, 131.19999999999993, 125.99999999999999, 123.5, 128.09999999999994, 123.8, 126.2, 118.30000000000001, 129.59999999999997, 125.29999999999994]
0.2: [99.80000000000001, 101.8, 102.2, 103.00000000000001, 102.2, 103.60000000000007, 99.80000000000004, 109.00000000000001, 98.60000000000005, 103.40000000000002, 144.20000000000002, 148.00000000000006, 134.20000000000002, 137.80000000000004, 142.79999999999993, 144.99999999999994, 134.2, 131.20000000000002, 146.59999999999994, 134.39999999999998]
0.3: [109.19999999999999, 112.8, 112.3, 111.2, 105.3, 113.69999999999999, 113.5, 120.69999999999999, 106.89999999999996, 113.79999999999998, 159.29999999999998, 157.29999999999995, 150.1, 154.3, 161.60000000000002, 155.99999999999994, 146.30000000000004, 148.69999999999996, 156.00000000000009, 154.20000000000002]
0.4: [125.39999999999998, 124.39999999999999, 122.40000000000003, 119.60000000000007, 114.40000000000003, 123.60000000000005, 124.60000000000001, 131.60000000000002, 115.20000000000003, 120.80000000000003, 174.40000000000012, 171.40000000000003, 165.40000000000006, 167.40000000000012, 173.0, 170.00000000000003, 162.40000000000006, 163.60000000000002, 168.20000000000002, 168.60000000000014]
0.5: [136.5, 136.0, 132.5, 128.0, 138.5, 133.5, 135.5, 142.5, 125.0, 130.0, 189.5, 185.5, 160.5, 177.0, 180.0, 183.5, 172.5, 178.5, 172.5, 183.0]
1: [192, 183, 183, 188, 179, 183, 190, 197, 159, 179, 265, 256, 236, 241, 242, 244, 223, 234, 221, 227]
1.5: [226.0, 239.0, 233.5, 238.0, 224.5, 232.5, 244.5, 251.0, 197.5, 220.5, 336.5, 326.5, 300.0, 305.0, 304.0, 307.0, 273.5, 296.5, 271.0, 285.5]
2: [272, 297, 284, 288, 270, 285, 299, 305, 236, 251, 408, 397, 348, 369, 366, 370, 324, 359, 322, 344]
3: [364, 403, 385, 388, 361, 385, 408, 413, 313, 332, 551, 538, 329, 497, 490, 496, 425, 481, 424, 461]
