0: [180.00305581092834, 180.02793097496033, 180.0025908946991, 180.01303482055664, 180.0050778388977, 180.00876188278198, 180.0042679309845, 180.00554299354553, 180.01441097259521, 180.00418496131897]
0.1: [180.00368785858154, 180.00754189491272, 180.0114929676056, 180.00116395950317, 180.00727891921997, 180.00205993652344, 180.00353002548218, 180.00415301322937, 180.00121307373047, 180.00595688819885]
0.2: [180.01632690429688, 180.01057410240173, 180.0178279876709, 180.00906491279602, 180.01213192939758, 180.01044821739197, 180.01093196868896, 180.00433897972107, 180.01434087753296, 180.0224151611328]
0.3: [180.0091691017151, 180.0495069026947, 180.01968502998352, 180.02316212654114, 180.0104420185089, 180.0082230567932, 180.00835800170898, 180.00400519371033, 180.09221601486206, 180.00418710708618]
0.4: [180.01038479804993, 180.0026581287384, 180.0114448070526, 180.00616598129272, 180.0023410320282, 180.0059540271759, 180.00613498687744, 180.0038480758667, 180.00778794288635, 180.00823092460632]
0.5: [180.00312304496765, 180.00695610046387, 180.00429606437683, 180.0114619731903, 180.00308990478516, 180.0108962059021, 180.00284004211426, 180.01782894134521, 180.00759291648865, 180.00169396400452]
1: [180.0057590007782, 180.012629032135, 180.00900602340698, 180.0108199119568, 180.00972390174866, 180.01336407661438, 180.00512599945068, 180.01632380485535, 180.01072597503662, 180.00680708885193]
1.5: [180.00337409973145, 180.002259016037, 180.0135679244995, 180.00612688064575, 180.0066659450531, 180.00667214393616, 180.00418305397034, 180.0059850215912, 180.00576615333557, 180.00789189338684]
2: [180.0036280155182, 180.002788066864, 180.00895810127258, 180.02105689048767, 180.0176079273224, 180.003497838974, 180.0120689868927, 180.00569105148315, 180.01220512390137, 180.00813817977905]
3: [180.00329303741455, 180.00264191627502, 180.00916481018066, 180.00323009490967, 180.0019609928131, 180.01010513305664, 180.00175189971924, 180.0061891078949, 180.00505709648132, 180.01131105422974]
