0: [45, 45, 35, 35, 42, 42, 39, 39, 42, 42, 42, 42, 43, 43, 43, 43, 39, 39, 41, 41]
0.1: [53.8, 38.7, 49.2, 43.8, 47.8, 47.2, 48.7, 47.3, 47.4, 46.5]
0.2: [54.0, 43.0, 53.4, 48.2, 50.4, 51.4, 52.8, 51.6, 51.4, 50.0]
3: [109, 109, 130, 130, 130, 130, 111, 111, 155, 155, 130, 130, 106, 106, 126, 126, 106, 106, 148, 148]
0.4: [61.0, 49.2, 58.6, 56.400000000000006, 59.4, 60.6, 59.0, 60.2, 58.400000000000006, 57.0]
0.5: [60.0, 55.5, 62.5, 60.5, 62.5, 64.0, 62.5, 62.5, 60.0, 60.5]
0.6: [62.2, 58.8, 65.2, 64.6, 65.6, 67.4, 66.0, 67.4, 63.4, 64.0]
0.7: [63.0, 62.099999999999994, 67.9, 68.7, 68.7, 67.1, 69.5, 70.3, 66.8, 67.5]
0.8: [65.0, 65.4, 70.6, 64.8, 71.8, 70.4, 72.2, 73.2, 70.2, 71.0]
0.9: [67.0, 68.7, 73.3, 66.9, 74.9, 73.7, 75.1, 75.6, 73.6, 74.5]
1: [69, 72, 76, 69, 78, 77, 78, 78, 75, 78]
1.1: [71.0, 75.30000000000001, 78.7, 71.1, 86.6, 78.2, 80.9, 80.4, 77.6, 81.5]
1.2: [73.0, 73.6, 81.4, 73.2, 90.19999999999999, 81.4, 83.8, 82.8, 80.2, 85.0]
1.3: [75.0, 75.9, 84.1, 75.3, 93.80000000000001, 85.80000000000001, 86.5, 85.2, 81.0, 88.5]
1.4: [77.0, 75.0, 86.8, 77.4, 97.4, 88.4, 89.6, 87.6, 87.0, 92.0]
1.5: [79.0, 77.0, 89.5, 79.5, 101.0, 91.0, 77.5, 90.0, 88.0, 95.5]
1.6: [81.0, 79.0, 92.2, 81.6, 104.6, 93.6, 82.2, 92.4, 82.2, 99.0]
1.7: [83.0, 81.0, 94.9, 83.69999999999999, 108.19999999999999, 96.19999999999999, 83.9, 94.8, 83.9, 102.5]
1.8: [85.0, 83.0, 97.6, 85.80000000000001, 111.8, 98.80000000000001, 85.6, 97.2, 85.6, 106.0]
1.9: [87.0, 85.0, 100.3, 87.9, 115.39999999999999, 101.4, 87.3, 99.6, 87.3, 109.5]
2: [89, 87, 103, 90, 119, 104, 89, 102, 89, 113]
2.1: [91.0, 95.5, 105.7, 92.1, 122.60000000000001, 106.6, 90.7, 104.4, 90.7, 116.5]
2.2: [93.0, 98.0, 108.4, 94.2, 126.2, 109.2, 92.4, 106.80000000000001, 92.4, 120.0]
2.3: [95.0, 100.5, 111.1, 96.3, 129.8, 111.8, 94.1, 109.19999999999999, 94.1, 123.5]
2.4: [97.0, 103.0, 113.8, 98.4, 133.39999999999998, 114.4, 95.8, 111.6, 95.8, 127.0]
2.5: [99.0, 105.5, 116.5, 100.5, 137.0, 117.0, 97.5, 114.0, 97.5, 130.5]
2.6: [101.0, 117.60000000000001, 119.2, 102.6, 140.60000000000002, 119.60000000000001, 99.2, 116.4, 99.2, 134.0]
2.7: [103.0, 120.7, 121.9, 104.7, 144.2, 122.2, 100.9, 118.80000000000001, 100.9, 137.5]
2.8: [105.0, 123.8, 124.6, 106.8, 147.8, 124.8, 102.6, 121.19999999999999, 102.6, 141.0]
2.9: [107.0, 126.89999999999999, 127.3, 108.9, 151.39999999999998, 127.39999999999999, 104.3, 123.6, 104.3, 144.5]
