0: [144, 140, 134, 132, 140, 129, 140, 143, 134, 144]
0.1: [164.79999999999998, 160.89999999999995, 152.59999999999988, 156.79999999999995, 159.79999999999995, 153.19999999999993, 163.79999999999995, 159.49999999999997, 156.79999999999993, 162.09999999999985]
0.2: [183.60000000000002, 185.19999999999993, 172.20000000000005, 171.39999999999995, 178.60000000000002, 167.8, 177.0, 174.99999999999991, 169.99999999999997, 182.99999999999997]
0.3: [202.49999999999994, 202.80000000000007, 191.70000000000002, 203.6, 197.0, 186.1, 193.00000000000009, 184.6000000000001, 181.7, 193.80000000000007]
0.4: [219.0, 220.4, 213.20000000000007, 202.6, 204.0, 201.80000000000004, 212.20000000000007, 195.80000000000004, 205.60000000000005, 206.60000000000005]
0.5: [231.0, 238.0, 229.5, 216.0, 226.5, 207.5, 218.5, 207.0, 216.0, 220.0]
1: [276, 326, 311, 326, 300, 263, 271, 263, 298, 287]
1.5: [330.5, 414.0, 392.5, 302.0, 371.5, 318.5, 329.5, 318.0, 305.0, 372.5]
2: [385, 502, 474, 377, 443, 374, 388, 373, 354, 447]
3: [509, 678, 637, 539, 586, 485, 586, 483, 559, 596]
