0: [34.0]
0.1: [36.4]
0.2: [37.8]
0.3: [38.7]
0.4: [39.599999999999994]
0.5: [40.5]
1: [44.0]
1.5: [47.00000000000002]
2: [50.0]
3: [50.0]
