0: [48, 46, 45, 53, 45, 47, 45, 49, 44, 47]
0.1: [52.9, 51.3, 51.2, 56.7, 50.6, 53.7, 50.8, 53.0, 48.2, 54.0]
0.2: [55.2, 55.0, 57.4, 60.6, 53.8, 57.4, 55.4, 58.0, 51.2, 59.4]
0.3: [57.8, 58.5, 60.2, 64.4, 58.2, 61.1, 56.3, 61.1, 53.8, 64.6]
0.4: [60.4, 62.0, 64.0, 65.6, 62.6, 64.8, 58.4, 62.4, 56.4, 69.8]
0.5: [62.5, 65.5, 68.0, 68.0, 70.0, 68.5, 60.5, 65.0, 59.0, 75.0]
1: [71, 83, 82, 81, 76, 84, 71, 74, 70, 105]
1.5: [79.5, 100.5, 96.5, 92.5, 86.0, 94.5, 80.5, 84.0, 84.0, 129.0]
2: [77, 118, 111, 104, 92, 108, 126, 94, 85, 153]
3: [88, 131, 140, 127, 110, 135, 113, 114, 99, 201]
