0: [79, 78, 80, 82, 82, 79, 77, 78, 78, 86]
0.1: [88.9, 88.9, 90.2, 89.8, 91.0, 89.7, 86.0, 87.8, 86.3, 92.6]
0.2: [93.8, 95.8, 97.2, 96.0, 98.2, 94.8, 92.2, 89.8, 88.8, 95.0]
0.3: [96.2, 99.5, 100.3, 99.8, 100.2, 101.0, 97.3, 94.0, 95.2, 96.6]
0.4: [100.2, 98.8, 102.6, 105.4, 103.0, 106.8, 98.8, 96.0, 97.4, 99.2]
0.5: [104.0, 103.0, 107.0, 107.0, 104.5, 112.0, 103.5, 97.5, 99.5, 103.5]
1: [109, 114, 113, 125, 112, 122, 113, 106, 107, 111]
1.5: [112.5, 118.0, 117.0, 135.5, 116.5, 123.5, 116.0, 111.5, 113.5, 115.0]
2: [120, 121, 122, 140, 120, 126, 120, 115, 118, 121]
3: [125, 125, 129, 144, 124, 126, 126, 119, 120, 122]
