0: [31.0, 32.0, 32.0, 33.0, 32.0, 33.0, 33.0, 33.0, 26.0, 34.0, 36.0, 39.0, 36.0, 36.0, 37.0, 36.0, 38.0, 35.0, 35.0, 37.0, 34.0, 30.0, 30.0, 33.0, 32.0, 32.0, 35.0, 31.0, 35.0, 33.0, 37.0, 42.0, 38.0, 41.0, 44.0, 37.0, 42.0, 34.0, 37.0, 39.0, 45.0, 43.0, 46.0, 43.0, 46.0, 39.0, 46.0, 41.0, 46.0, 46.0, 44.0, 37.0, 40.0, 36.0, 44.0, 41.0, 38.0, 43.0, 41.0, 41.0]
0.1: [33.6, 34.2, 32.7, 35.300000000000004, 33.2, 35.300000000000004, 36.0, 35.599999999999994, 28.799999999999997, 36.1, 38.400000000000006, 41.40000000000001, 38.49999999999999, 37.800000000000004, 40.099999999999994, 38.00000000000001, 40.50000000000001, 36.300000000000004, 37.400000000000006, 39.00000000000001, 36.2, 33.300000000000004, 33.00000000000001, 36.1, 35.80000000000001, 34.60000000000001, 36.699999999999996, 34.80000000000001, 38.50000000000001, 36.3, 40.199999999999996, 45.2, 42.1, 44.800000000000004, 48.100000000000016, 40.5, 46.2, 37.300000000000004, 41.60000000000001, 41.99999999999999, 47.300000000000004, 46.90000000000001, 49.199999999999996, 46.10000000000001, 49.1, 44.10000000000001, 49.1, 44.4, 48.00000000000001, 47.90000000000001, 48.600000000000016, 41.9, 43.7, 39.699999999999996, 48.10000000000002, 46.50000000000001, 42.99999999999999, 46.5, 45.29999999999999, 44.400000000000006]
0.2: [35.60000000000001, 36.2, 33.400000000000006, 36.800000000000004, 34.4, 36.6, 38.4, 37.2, 30.799999999999997, 37.6, 39.800000000000004, 43.800000000000004, 41.00000000000001, 39.6, 42.199999999999996, 40.00000000000001, 42.00000000000001, 37.6, 38.99999999999999, 41.000000000000014, 38.4, 35.599999999999994, 35.00000000000001, 39.00000000000001, 39.0, 37.199999999999996, 38.2, 37.8, 40.99999999999999, 38.60000000000001, 43.39999999999999, 47.400000000000006, 45.2, 48.6, 50.800000000000004, 43.00000000000003, 49.400000000000006, 39.60000000000001, 45.0, 44.00000000000001, 49.6, 50.40000000000002, 51.60000000000001, 48.199999999999996, 51.2, 47.80000000000002, 52.00000000000001, 46.600000000000016, 50.00000000000001, 49.800000000000004, 52.00000000000001, 45.99999999999999, 46.2, 42.40000000000001, 50.20000000000001, 49.6, 46.000000000000014, 48.400000000000006, 49.599999999999994, 46.79999999999999]
0.3: [36.89999999999999, 37.6, 34.1, 38.199999999999996, 35.6, 37.400000000000006, 40.099999999999994, 38.79999999999999, 32.300000000000004, 38.9, 40.699999999999996, 46.199999999999996, 43.49999999999999, 41.4, 44.099999999999994, 41.99999999999999, 43.50000000000001, 38.9, 40.5, 42.7, 40.4, 37.400000000000006, 36.599999999999994, 41.00000000000001, 41.0, 39.099999999999994, 39.3, 40.7, 43.5, 40.89999999999999, 46.60000000000001, 49.2, 47.300000000000004, 51.8, 53.199999999999996, 45.49999999999999, 52.6, 41.89999999999999, 48.0, 45.99999999999999, 51.9, 52.399999999999984, 53.39999999999999, 49.8, 51.79999999999999, 50.69999999999998, 54.49999999999999, 47.899999999999984, 51.8, 51.699999999999996, 55.09999999999999, 48.79999999999999, 48.29999999999999, 45.09999999999999, 51.79999999999999, 50.9, 47.6, 49.49999999999999, 51.900000000000006, 48.699999999999996]
0.4: [37.99999999999999, 38.8, 34.800000000000004, 39.6, 36.8, 38.0, 41.800000000000004, 40.400000000000006, 33.39999999999999, 40.2, 41.599999999999994, 48.59999999999999, 45.4, 43.199999999999996, 45.8, 43.99999999999999, 44.999999999999986, 40.199999999999996, 41.999999999999986, 43.6, 42.199999999999996, 39.2, 37.79999999999999, 43.0, 42.99999999999999, 40.8, 40.4, 43.59999999999999, 45.599999999999994, 42.800000000000004, 49.0, 50.59999999999999, 49.4, 54.400000000000006, 55.59999999999999, 47.39999999999999, 54.79999999999999, 44.19999999999999, 50.99999999999999, 48.00000000000001, 54.199999999999996, 54.19999999999999, 54.8, 51.39999999999999, 52.4, 53.0, 55.800000000000004, 49.199999999999996, 53.4, 53.59999999999999, 57.19999999999999, 50.8, 50.199999999999996, 47.6, 53.399999999999984, 52.19999999999999, 48.8, 49.99999999999999, 53.99999999999999, 50.599999999999994]
0.5: [39.0, 40.0, 35.500000000000014, 41.000000000000014, 38.0, 38.5, 43.5, 42.0, 34.5, 41.5, 42.5, 51.0, 47.0, 45.0, 47.5, 46.0, 46.5, 41.5, 43.5, 44.5, 44.0, 41.0, 38.5, 45.0, 44.5, 42.5, 41.5, 46.5, 47.0, 44.0, 50.5, 52.0, 51.5, 56.5, 58.0, 49.0, 56.5, 46.5, 53.5, 49.5, 56.5, 56.0, 56.0, 52.5, 53.0, 54.5, 57.0, 50.5, 55.0, 55.5, 58.5, 53.0, 51.5, 49.0, 55.5, 53.5, 50.0, 50.5, 56.0, 52.0]
1: [42.0, 41.0, 39.0, 47.0, 44.0, 40.0, 52.0, 50.0, 37.0, 46.0, 47.0, 56.99999999999997, 51.0, 50.0, 54.0, 51.0, 52.000000000000014, 47.99999999999999, 50.0, 45.0, 53.0, 44.0, 42.0, 53.99999999999999, 48.0, 51.0, 45.0, 58.0, 52.0, 49.0, 52.0, 58.0, 58.0, 66.0, 66.99999999999999, 55.0, 65.0, 53.0, 64.0, 54.0, 65.0, 64.0, 62.0, 57.0, 54.0, 62.00000000000003, 63.000000000000014, 56.0, 63.0, 66.0, 65.0, 61.0, 57.0, 53.999999999999986, 61.0, 60.0, 56.0, 53.0, 61.0, 57.00000000000004]
1.5: [43.5, 42.0, 41.0, 51.50000000000001, 50.0, 40.5, 60.0, 57.0, 38.5, 48.5, 48.99999999999999, 59.5, 52.0, 53.99999999999999, 57.0, 55.0, 56.5, 51.0, 55.0, 45.5, 58.0, 45.5, 45.5, 59.0, 51.0, 55.0, 46.5, 65.5, 55.5, 51.0, 53.0, 60.0, 60.5, 74.5, 73.5, 60.50000000000002, 69.0, 56.99999999999997, 70.00000000000003, 58.0, 70.99999999999997, 69.5, 67.5, 61.5, 54.5, 68.99999999999999, 67.0, 57.5, 66.50000000000003, 70.5, 68.0, 66.0, 58.5, 57.5, 65.5, 61.50000000000001, 59.5, 55.5, 64.49999999999994, 59.5]
2: [45.0, 43.0, 43.0, 54.0, 52.99999999999999, 41.0, 66.0, 60.0, 40.0, 51.0, 50.0, 62.0, 53.0, 57.0, 59.99999999999999, 57.0, 60.0, 52.0, 57.0, 46.0, 61.0, 47.0, 48.0, 63.0, 54.0, 59.0, 47.0, 68.0, 57.00000000000001, 53.0, 54.0, 61.0, 62.0, 81.0, 79.0, 62.0, 73.0, 61.0, 75.0, 58.0, 77.0, 73.0, 71.0, 64.0, 55.0, 73.0, 70.0, 59.0, 70.0, 75.0, 70.00000000000004, 70.0, 59.99999999999999, 58.0, 68.0, 62.0, 62.99999999999999, 57.0, 66.0, 60.0]
3: [45.0, 43.0, 44.0, 57.0, 54.0, 41.0, 70.0, 62.0, 42.0, 54.0, 50.0, 64.0, 54.0, 60.0, 61.0, 59.0, 63.0, 54.0, 61.000000000000014, 47.0, 64.0, 50.0, 51.00000000000002, 65.0, 59.0, 62.00000000000001, 47.99999999999999, 69.0, 59.0, 57.0, 54.0, 63.0, 63.0, 85.0, 85.0, 65.0, 81.0, 64.0, 79.0, 58.0, 82.0, 79.0, 75.0, 65.0, 56.0, 77.0, 72.0, 61.0, 74.0, 83.0, 74.0, 73.0, 62.0, 58.0, 73.0, 63.0, 67.0, 59.0, 66.0, 61.0]
